pole,trt,grazers,epis,macroalgae,seagrass
1,-1,2.3306304403449314,-2.069061180918304,2.2688535710714888,-1.1668151495744643
2,1,0.1514515583094072,1.207936044647647,1.933074439303307,-1.0170551242878318
3,-1,0.42610790717585006,0.03239740369482972,1.06785232873783,-0.8734675759080964
4,-1,2.0059035633353717,-0.8986590566480656,2.3067936880430637,0.16321297725094625
5,-1,0.6118157621010729,-0.8456513767830769,-0.8834454691567876,0.76846963538488
6,1,-0.7703137566591357,1.389719767269196,1.6948207955468422,-0.34963786521180656
7,1,-1.2907194409189164,1.5591975330462002,-0.826023512388999,1.647015457211093
8,-1,0.9115710333099597,-0.8396498529976302,0.5114877545715442,-0.9258068975130243
9,-1,0.3796952083740689,-1.6548246744803474,0.37148596687780405,-1.8756149132955886
10,-1,-0.856678324119658,-0.7834246546451031,-0.8881644750131485,-2.860892277398702
11,1,-0.856678324119658,-0.3198757213757976,-0.6120451217682398,-0.3269325684735355
12,1,-0.962380011156141,0.5311202235024094,0.4110834940657723,-0.2884526877025691
13,1,-1.0986531868956046,0.7994230357401525,-0.6254810394935555,0.31835892410376
14,-1,-0.17688787192706187,-1.4255462204610285,-0.8881644750131485,-0.39964330532010184
15,-1,-0.2769836516251756,-0.128019257325784,-0.8881644750131485,-0.0020704894418482056
16,1,-1.0986531868956046,0.08383904454881058,0.8483284280239335,-0.35520107317721045
17,1,-1.6190588711553855,1.6622038951843716,-0.6623074745931405,-0.6580639830123967
18,-1,-0.19999946364671994,-0.5026473791640983,-0.6990424374422447,-0.1967876847401408
19,-1,-0.2499080728730486,0.2505771077392911,-0.8881644750131485,-0.47898792952551156
20,-1,0.4067707871261957,-0.5220183967852152,-0.8881644750131485,-0.005504073837186248
21,-1,1.2376385472421245,-0.13735564442520376,1.3590872933153044,0.08483790512550009
22,-1,-0.30570115115689656,0.5299540723705436,0.26557549104571965,0.7412320398966744
23,1,-0.9623800106824474,1.2797188914505544,-0.41886845293293096,-0.27929013821272647
24,1,-1.6190588711553855,1.3584378022588117,0.8055093334143943,-0.5002095264014408
25,-1,1.0634496471254407,-1.1755423341054798,0.1745059328488882,0.7056866972477297
26,-1,1.2272778838210767,-1.2172633384868818,0.3179522389572191,0.5266907982123671
27,-1,2.1260479789195457,-0.8003809987742365,1.5731760465972735,2.060007981020291
28,-1,0.8713833931021286,-0.012649618787608546,-0.1592957050436321,-0.06868484106653033
29,-1,1.2522148867730378,-1.3199584596847502,1.0620644099924668,-1.0282160456503306
30,1,-0.962380011156141,0.6889009774768593,-0.8881644750131485,0.3584998435590844
31,1,-0.9623800106824474,1.2688588653752662,-0.8881644750131485,0.45650291954464395
32,-1,0.4909372359662505,0.8721040695381311,-0.29403390064338103,2.404024641151425
33,-1,0.11634708079325386,-0.7859967699201147,-0.6421233146239449,1.4234187021481624
34,1,-0.7703137566591357,0.9261470837762099,-0.8881644750131485,0.6650171575744895
35,1,-0.4419743268963603,1.5979551821342362,-0.5862639825831919,0.668707853305869
36,-1,0.23404165315253858,0.19043482954529795,-0.4241872695291545,1.1389141086214227
37,1,-0.19999946412041364,-0.6660727649181848,-0.8881644750131485,-0.5930113625784343
38,1,-0.4419743268963603,0.4817430225604579,-0.3687243070690155,0.7932645683351023
39,-1,-0.00793320962340826,-0.5119359989487419,-0.8881644750131485,-0.49219075614632496
40,-1,0.2877247340488709,-0.09413515222362709,-0.8881644750131485,-0.181325941217644
